"trial_index","angle","stimulus_time","response_time","reaction_time","response","correct_response","correct","time_from_start","rt_bin","angle_category","angle_deviation","phase"
517,89,754591,754664,71,"f","f",TRUE,754664,1,"Less than 90°",1,"Late"
524,89.2,771706,772669,961,"f","f",TRUE,772669,4,"Less than 90°",0.799999999999997,"Late"
529,89.6,778726,779762,1034,"f","f",TRUE,779762,5,"Less than 90°",0.400000000000006,"Late"
534,90.2,785820,786388,565," ","j",FALSE,786388,3,"Greater than 90°",0.200000000000003,"Late"
539,90.4,792434,792699,262,"j","j",TRUE,792699,1,"Greater than 90°",0.400000000000006,"Late"
544,90.8,798754,798941,185,"j","j",TRUE,798941,1,"Greater than 90°",0.799999999999997,"Late"
549,90,804968,805868,899,"j"," ",FALSE,805868,4,"Equal to 90°",0,"Late"
554,90.6,811919,812373,452,"j","j",TRUE,812373,2,"Greater than 90°",0.599999999999994,"Late"
559,91,818423,818612,187,"j","j",TRUE,818612,1,"Greater than 90°",1,"Late"
564,89.4,824667,825117,448,"f","f",TRUE,825117,2,"Less than 90°",0.599999999999994,"Late"
569,89,831170,831484,311,"f","f",TRUE,831484,2,"Less than 90°",1,"Late"
574,89.8,837539,838869,1327," ","f",FALSE,838869,6,"Less than 90°",0.200000000000003,"Late"
